Type,RB_Theme,Name,Description
Theme,Conflict,ACT_FORCEPOSTURE,Actions relating to changes in force posture
Theme,Violence;Conflict,ACT_HARMTHREATEN,Actions relating to harming or threatening
Theme,Miscellaneous,ACT_MAKESTATEMENT,Actions relating to making a statement
Theme,Miscellaneous,ACT_YIELD,Actions relating to yielding
Count,Miscellaneous,AFFECT,"This broad category captures everything from being sickened to refugees, evacuations, displaced persons, stranded, etc"
Theme,Economy;Food,AGRICULTURE,General discussion of agriculture
Theme,Politics;IR,ALLIANCE,Self-identified discussion of alliances and coalitions
Theme,Leadership,APPOINTMENT,An appointment of someone to something
Theme,Violence;Conflict;Weaponry,ARMEDCONFLICT,"Primary discussion of armed conflict, from ground assaults to air raids"
Count,Law Enforcement,ARREST,"Discussion of someone being arrested, detained, jailed, imprisoned, etc"
Theme,Violence,ASSASSINATION,Actual discussion of assassination
Theme,Government,AUSTERITY,Mention of austerity.
Theme,Accident;Infrastructure,AVIATION_INCIDENT,"Plane/helicopter crashes, collisions, accidents."
Theme,Government;Law Enforcement,BAN,"Something being banned, prohibited, outlawed, criminalized, etc"
Theme,Crime;Economy;Trade;Organized Crime,BLACK_MARKET,"Actual mentions of ""black market"", not related terms"
Theme,Sovereignty,BLOCKADE,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
Theme,Sovereignty,BORDER,Any discussion of borders
Theme,Violence;Social;Conflict,BULLYING,"Explicit mention of the word ""bullying/cyberbullying"""
Theme,IR,CEASEFIRE,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc"
Theme,Leadership,CHARASMATIC_LEADERSHIP,Charismatic leadership
Theme,Sovereignty,CHECKPOINT,Security checkpoints
Theme,Economy,CLAIM_CREDIT,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)"
Theme,Infrastructure;Military,CLOSURE,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)"
Theme,Government;Law Enforcement,CONFISCATION,Actual mention of confiscation in the text
Theme,Government,CONSTITUTIONAL,Discussion of constitutionalism
Theme,Government;Organized Crime;Politics,CORRUPTION,"Corruption, kickbacks, embezzling, profiteering, etc"
Theme,Organized Crime,CRIME_CARTELS,"Primarily focused around mentions of drug cartels, drug corridors, etc.  Does not currently have a list of cartels, just captures general discussion of them"
Theme,Crime,CRIME_COMMON_ROBBERY,"Discussion of general crime like pickpocketing, robbery, street criminals, etc"
Theme,Crime,CRIME_ILLEGAL_DRUGS,Mentions of illegal drugs
Theme,Government,CURFEW,Discussion of any curfew
Theme,Conflict;Cyber,CYBER_ATTACK,"Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc"
Theme,Government;Law Enforcement,DEATH_PENALTY,From general discussion of capital punishment to actual mentions of death sentences
Theme,Dissent,DEFECTION,Any discussion of defection or defectors
Theme,Miscellaneous,DELAY,"Canceling, postponing, stalling delaying anything"
Theme,Government;Social;Rights;Politics,DEMOCRACY,"Actual mention of the term ""democracy"""
Theme,Social;Health,DISABILITY,"Disability, disabled, handicapped."
Theme,Discrimination;Social;Ethnic,DISCRIMINATION,"Racism, homophobia, xenophobia, etc"
Count,Social;People,DISPLACED,"This category counts mentions of people being displaced - see REFUGEES for counts of refugees, forced migration, and related"
Theme,Technology;Infrastructure,DRONE,"Drones, UAVs."
Theme,Economy;Trade;Organized Crime,DRUG_TRADE,General discussion of the drug trade in broad terms - broader than the other categories
Theme,Economy;Investment,ECON_BANKRUPTCY,Bankruptcy and bailouts
Theme,Economy;Dissent,ECON_BOYCOTT,Boycotts
Theme,Economy;Social,ECON_COST_OF_LIVING,"Explicit mention of ""cost of living"", ""median wage"", etc"
Theme,Economy;Investment,ECON_CURRENCY_EXCHANGE_RATE,"Exchange rates, foreign exchange, forex, currency fluctuation,  etc"
Theme,Economy;Investment,ECON_CURRENCY_RESERVES,"Currency reserves, forex reserves, dollar and euro reserves, etc"
Theme,Economy;Investment,ECON_CUTOUTLOOK,Cutting economic outlook
Theme,Economy;Investment,ECON_DEBT,Discussion of debt
Theme,Economy;Government,ECON_DEREGULATION,Economic deregulation
Theme,Economy,ECON_EARNINGSREPORT,"Earnings reports, etc"
Theme,Economy;Technology,ECON_ENTREPRENEURSHIP,"Entrepreneurship, venture capital, seed funding, angel investors, etc"
Theme,Economy;Investment;Trade,ECON_FOREIGNINVEST,Foreign investment
Theme,Economy;Trade;IR,ECON_FREETRADE,Free trade
Theme,Economy;Social,ECON_HOUSING_PRICES,"Housing prices, real estate, and other explicit discussion of property"
Theme,Economy,ECON_INFORMAL_ECONOMY,Informal economies
Theme,Economy;Investment;Government,ECON_INTEREST_RATES,"Interest rates, benchmark rates, overnight rates, libor, etc"
Theme,Economy,ECON_IPO,Initial Public Offerings
Theme,Economy,ECON_MONOPOLY,"Monopolies, anticompetitive practice, etc"
Theme,Economy,ECON_MOU,Relating to a Memorandum of Understanding
Theme,Economy;Government;Politics;Investment,ECON_NATIONALIZE,"Discussion of nationalization of industry, etc"
Theme,Economy;Government;Politics;Investment,ECON_PRICECONTROL,Price controls
Theme,Economy;Government,ECON_REMITTANCE,Remittance
Theme,Economy,ECON_STOCKMARKET,"Any discussion of a stockmarket, NYSE, FTSE, etc, also discussion of government bonds, etc"
Theme,Economy;Government,ECON_SUBSIDIES,Economic subsidies
Theme,Economy;Government;Politics;Investment,ECON_TAXATION,Taxation
Theme,Economy;Trade;Conflict;Politics;IR,ECON_TRADE_DISPUTE,"Trade disputes, antidumping, etc"
Theme,Dissent;Economy,ECON_UNIONS,"Discussion of unions, unionization, shop stewards, etc"
Theme,Social;Infrastructure,EDUCATION,"Teachers, schools, madrassas, yeshivas, professors, education in general"
Theme,Government;Social;Leadership;Politics,ELECTION,Elections of any kind
Theme,Government;Crime;Social;Leadership;Organized Crime;Politics,ELECTION_FRAUD,"Election fraud, from ballot stuffing to vote rigging"
Theme,Environment;Energy;Technology;Infrastructure,ENV_BIOFUEL,Biofuels
Theme,Environment;Energy;Technology;Infrastructure,ENV_CARBONCAPTURE,Carbon capture/sequestration
Theme,Environment;Energy;Technology;Social;Health;Infrastructure,ENV_CLIMATECHANGE,Discussion of climate change and global warming
Theme,Environment;Energy,ENV_COAL,Coal power
Theme,Environment;Social;Food,ENV_DEFORESTATION,Deforestation and clear cutting
Theme,Environment;Food,ENV_FISHERY,Discussion of fisheries and fish hatcheries
Theme,Environment,ENV_FORESTRY,Foresty and the logging industry
Theme,Environment;Energy;Technology,ENV_GEOTHERMAL,Geothermal
Theme,Environment;Energy;Technology,ENV_GREEN,"Green, renewable, and alternative energy"
Theme,Environment;Energy;Technology,ENV_HYDRO,Hydropower
Theme,Environment;Economy,ENV_METALS,"Core metals like gold, platinum, silver, copper, iron"
Theme,Environment;Economy,ENV_MINING,Mining operations
Theme,Environment;Energy,ENV_NATURALGAS,Natural gas for power and heating
Theme,Environment;Energy,ENV_NUCLEARPOWER,Nuclear power for energy generation (excludes nuclear weapons)
Theme,Environment;Energy,ENV_OIL,Oil power
Theme,Environment;Social;Food,ENV_OVERFISH,Overfishing
Theme,Environment;Crime;Social,ENV_POACHING,Poaching
Theme,Environment;Energy;Technology,ENV_SOLAR,Solar power
Theme,Environment;Social,ENV_SPECIESENDANGERED,Discussion of endangered species
Theme,Environment;Social,ENV_SPECIESEXTINCT,Discussion of extinction
Theme,Environment;Infrastructure,ENV_WATERWAYS,Waterways
Theme,Environment;Energy,ENV_WINDPOWER,Wind power
Theme,Ethnic;People,ETH_INDIGINOUS,Discussion of indiginous peoples
Count,Social;People,EVACUATION,Mentions of evacuations
Theme,Miscellaneous,EXHUMATION,"Discussion of mass graves, exhumation, unearthing of bodies, human remains, etc"
Theme,Social;Government,EXILE,Actual mention of exile in the text
Theme,Ideology;Organized Crime,EXTREMISM,"Discussion of extremists, both political (farright/farleft/anarchist), groups like skinheads, and terms like zealot, ""fringe element"", etc"
Theme,Social;Rights,FIREARM_OWNERSHIP,Gun rights
Theme,Food;Sovereignty;Social;Health;IR,FOOD_SECURITY,"Famine, food crisis, malnourishment, food prices"
Theme,Food,FOOD_STAPLE,"Captures explicit mention of terms like ""food staple"""
Theme,Social;Government;Rights,FREESPEECH,Freedom of speech
Theme,Energy;Economy,FUELPRICES,"Cost of fuel, energy, heating."
Theme,Miscellaneous,GEN_HOLIDAY,General discussion of holidays
Theme,Violence;Conflict;Ethnic;Ideology;Politics;Discrimination,GENDER_VIOLENCE,Gender violence
Theme,Government,GENERAL_GOVERNMENT,"General discussion of government, congress, parliament, republic, regime, etc"
Theme,Health,GENERAL_HEALTH,"Any general discussion of human, animal, plant, etc health, from hygiene to hospitals, doctors to disease"
Theme,Social;Ethnic;People,GENTRIFICATION,Gentrification
Theme,Government,GOV_DISSOLVEGOV,Dissolving government
Theme,Government,GOV_DIVISIONOFPOWER,Division of power in government
Theme,Government;IR,GOV_INTERGOVERNMENTAL,Intergovernmental activities or proposals
Theme,Government;Politics,GOV_REFORM,Government reform
Theme,Government,GOV_REPATRIATION,Repatriation
Theme,Social;Dissent,GRIEVANCES,"Mention of the term ""grievances"" as explicit discussion of societal unhappiness."
Theme,Conflict;Dissent;Social,HARASSMENT,"Explicit mention of the word ""harassment"""
Theme,Conflict;Social;Dissent,HATE_SPEECH,"Explicit mention of the phrase ""hate speech"""
Theme,Health;Disaster,HEALTH_PANDEMIC,Explicit mention in the text of a pandemic or public health emergency
Theme,Health,HEALTH_SEXTRANSDISEASE,Mention of sexually transmitted diseases
Theme,Health,HEALTH_VACCINATION,"Mentions of vaccination, immunization"
Theme,Social;Rights;People;Atrocity,HUMAN_TRAFFICKING,"Human trafficking, sexual slavery, prostitution, human smuggling, etc"
Theme,Ideology,IDEOLOGY,Self-identified discussion of ideology
Theme,Sovereignty;Law Enforcement;Ethnic;Social;Politics;People,IMMIGRATION,Discussion of immigration
Theme,Government;Leadership;Politics,IMPEACHMENT,Impeachment
Theme,Ideology;Information,INFO_HOAX,Discussion of hoaxes
Theme,Information,INFO_RUMOR,Discussion of rumors
Theme,Infrastructure,INFRASTRUCTURE_BAD_ROADS,"Mentions of potholes, impassable roads, blocked roads, etc."
Theme,Conflict;Government;Dissent;Politics,INSURGENCY,Self-identified discussion of insurgency
Theme,Infrastructure;Cyber;Technology,INTERNET_BLACKOUT,Mentions of internet blackouts
Theme,Infrastructure;Government;Law Enforcement;Technology;Information;Media;Politics,INTERNET_CENSORSHIP,"Internet censorship such as blocking websites, etc"
Theme,Ideology;Conflict;Dissent;Violence;Ethnic;Terrorism;Organized Crime,JIHAD,"Actual mentions of ""jihad"" and ""holy war"""
Count,Conflict;Violence;Crime,KIDNAP,"Someone being kidnapped, abducted, hostages, etc"
Count,Conflict;Violence;Atrocity,KILL,Any mention of something dying
Theme,Conflict;Violence,LANDMINE,"Landmines, IEDs, antipersonnel mines, etc"
Theme,Government;Politics;Leadership,LEADER,"Political elites, such as lawmakers, presidents, supreme leaders, etc"
Theme,Government;Politics,LEGALIZE,"Something being legalized, laws being repealed, etc"
Theme,Government;Politics,LEGISLATION,Discussion of laws
Theme,Ethnic;Rights;Social;Politics;People,LGBT,"Lesbian, Gay, Bisexual, and Transgender discussion"
Theme,Infrastructure;Information;Social,LITERACY,Discussion of literacy and illiteracy
Theme,Food,LOCUSTS,Mentions of locusts
Theme,Accident;Disaster,MANMADE_DISASTER,"Failure of manmade infrastructure such as car crashes, bridge collapses, derailments, plane crashes, etc"
Theme,Accident;Disaster,MANMADE_DISASTER_IMPLIED,"Discussion of disasters in context with manmade structures, but where the relationship is not fully clear, but is implied"
Theme,Sovereignty;Military,MARITIME,General discussion of the maritime environment
Theme,Sovereignty;Military,MARITIME_INCIDENT,"Sinking ships, capsizing, etc"
Theme,Sovereignty;Military,MARITIME_INCIDENT_IMPLIED,"Maritime emergencies like sinking ships, collisions at sea, etc"
Theme,Sovereignty;Military,MARITIME_INCIDENT_SELF_IDENTIFIED,Mentions of specific unambiguous martime accidents like grounding.
Theme,Sovereignty;Military;Organized Crime,MARITIME_PIRACY,Maritime piracy
Theme,Information;Social;Technology;Media;Government,MEDIA_CENSORSHIP,"Censorship of the mainstream media, such as arresting journalists, press freedoms, etc"
Theme,Media,MEDIA_MSM,"Any mention of mainstream media such as television, reporter, journalist, etc.  Often flags just a mention of a ""reporter"", but can be used to capture discussion of MSM overall"
Theme,Media;Social,MEDIA_SOCIAL,"Any mention of social media such as Facebook, Twitter, etc.  Often flags mentions of ""follow me on twitter"", but useful proxy for discussion of social media"
Theme,Health,MEDICAL,"More narrowly focused on healthcare like nurses, health services, addiction treatment, etc"
Theme,Health;Sovereignty,MEDICAL_SECURITY,"Access to doctors, healthcare, poor medical access, etc."
Theme,Trade;Weaponry;Military,MIL_SELF_IDENTIFIED_ARMS_DEAL,"Only actual mentions of ""arms deal"", ""weapons sale"", etc - doesn't determine that a sale of AK47's is an arms sale, requires the text to explicitly label it as such"
Theme,Weaponry;IR;Military,MIL_WEAPONS_PROLIFERATION,Weapons proliferation
Theme,Military,MILITARY,General discussion of the military
Theme,Military,MILITARY_COOPERATION,"Actual mentions of military ties, military aid, defense cooperation, etc (where the text explicitly labels it as such)"
Theme,Environment;Dissent;Social;Ideology,MOVEMENT_ENVIRONMENTAL,Environmental movements
Theme,Social;Dissent;Ideology;Politics,MOVEMENT_GENERAL,"General discussion of movements, activists, etc"
Theme,Social;Dissent;Ideology;Politics,MOVEMENT_OTHER,"Catchall for movements such as equality movements, religious movements, youth movements, labor movements, etc"
Theme,Social;Dissent;Ideology;Politics,MOVEMENT_SOCIAL,General discussion of social-related movements
Theme,Social;Dissent;Ideology;Ethnic;Politics;Discrimination,MOVEMENT_WOMENS,Women-specific movements
Theme,Disaster,NATURAL_DISASTER,"From floods to coldsnaps, wildfires to tornadoes"
Theme,Conflict;IR,NEGOTIATIONS,"Discussion of bargaining, negotations, etc."
Theme,Infrastructure,NEW_CONSTRUCTION,"Mentions of new construction, new roads, etc"
Theme,Crime;Organized Crime,ORGANIZED_CRIME,"Discussion of gangs, mafia, organized crime, etc"
Theme,Sovereignty;IR,PEACEKEEPING,"Mentions of peacekeepers, UN forces, etc"
Theme,Discrimination;Social;Dissent,PERSECUTION,"Actual mentions of ""persecution"""
Theme,Infrastructure;Cyber;Technology,PHONE_OUTAGE,Interruption of phone service.
Theme,Infrastructure;Accident;Disaster,PIPELINE_INCIDENT,Pipeline explosion or damage.
Theme,Organized Crime,PIRACY,"Piracy, hijacking, etc (but not software/music/etc piracy)"
Theme,IR;Leadership;Government;Politics,POL_HOSTVISIT,Hosting a visit
Theme,IR;Leadership;Politics,POLITICAL_PRISONER,Explicit mention of political prisoners or labor camps
Theme,Politics;Social;Dissent,POLITICAL_TURMOIL,"Discussion of major unrest such as martial law, political ""crisis"", state of emergency, violent supression, etc."
Theme,Economy,POPULATION_DENSITY,Population density
Theme,Economy,POVERTY,"Poverty, homeless, destitute"
Theme,Economy;Disaster;Energy;Technology;Infrastructure,POWER_OUTAGE,"Mentions of power failures - these are also captured under MANMADE_DISASTER, but are broken out here so that they can be specifically selected"
Theme,Investment;Government;Economy,PRIVATIZATION,Mention of privatization or deregulation.
Theme,Government;Social;Information;Media,PROPAGANDA,"Explicit mention of ""propaganda"""
Theme,Rights,PROPERTY_RIGHTS,"Discussion of property rights, land tenure, eminent domain, land confiscation"
Count,Dissent;Social;Conflict,PROTEST,"Discussion of protesting, demonstrating, rioting, striking, activists, agitators, etc"
Theme,Infrastructure,PUBLIC_TRANSPORT,Public transportation from buses to subways
Theme,Infrastructure;Accident;Disaster,RAIL_INCIDENT,"Train accidents, derailments, etc."
Theme,Violence;Conflict,RAPE,"Rape, sexual slavery, sex crime, etc"
Theme,Politics;Government,RATIFY,"Mention of something actually being adopted, signed into law, ratified, etc"
Theme,Conflict;Social;Dissent;Politics;Leadership;Organized Crime,REBELLION,"Mutinies, uprisings, civil war, etc"
Theme,Conflict;Social;Dissent;Leadership;Organized Crime,REBELS,Self-identified discussion of rebels
Theme,Miscellaneous,RECRUITMENT,Recruitment
Count,People,REFUGEES,"Refugees, displaced persons, forced migration, asylum seekers"
Theme,Discrimination;Ethnic,REL_ANTISEMITISM,Anti-semitism
Theme,IR;Leadership;Government;Politics,RELATIONS,"Narrow focus on ""improving relations"", ""restarting talks"", ""bilateral talks"", etc"
Theme,IR;Leadership;Government;Politics,RELEASE_HOSTAGE,A hostage being released
Theme,Law Enforcement;Government,RELEASE_PRISON,Someone being released from prison/jail
Theme,Religion,RELIGION,"Just mention of terms like ""religion"" or ""secular"", not actual religions"
Theme,Leadership;Politics,RESIGNATION,A resignation
Theme,Conflict,RETALIATE,"Actual mentions of ""reprisals"", ""avenge"", ""strike back"", etc"
Theme,People,RETIREMENT,"Any mention of ""retirement"" (not ""retiring"", etc) or pensions."
Theme,People,RETIREMENTS,A retirement
Theme,Infrastructure;Accident;Disaster,ROAD_INCIDENT,"Bridge/road failure, crashes, and accidents."
Theme,People,RURAL,Discussion of the rural environment
Theme,IR;Trade;Investment;Government,SANCTIONS,Sanctions and embargoes
Theme,Health;Infrastructure,SANITATION,"Any mention related to sanitation, toilets, etc"
Theme,Politics;Social,SCANDAL,"Mention of scandal, disgraced, etc, where it has been self-identified in the text as a scandal"
Theme,Technology;Leadership,SCIENCE,"Just mentions of scientist, researcher, invention, innovation, scientific discovery, etc"
Theme,Law Enforcement,SECURITY_SERVICES,"Discussion of primarily internal security services like police, law enforcement, secret police, and also peacekeepers"
Theme,Conflict,SEIGE,"Seiges, besieging, blockades, checkpoints, etc"
Count,Conflict;Law Enforcement,SEIZE,"Something being seized (often drugs, illegal materials, etc)"
Theme,Atrocity,SELF_IDENTIFIED_ATROCITY,"Only captures atrocities identified as such in the text (atrocity, genocide, war crime, etc), not actions that could be construed as a crime, but where the text does not draw that distinction"
Theme,Environment;Disaster,SELF_IDENTIFIED_ENVIRON_DISASTER,"Articles where the text explicitly mentions ""ecological disaster"", ""environmental catastrophe"", etc"
Theme,Rights,SELF_IDENTIFIED_HUMAN_RIGHTS,"Mentions of ""human rights"", ""political freedom"", ""religious freedom"", ""freedom of speech"", etc - only explicit mentions where the text explicitly identified a human rights issue"
Theme,Rights;Disaster,SELF_IDENTIFIED_HUMANITARIAN_CRISIS,"Humanitarian crises, aid, disasters, disaster relief, etc"
Theme,Politics;Dissent;Social,SEPARATISTS,Self-identified discussion of separatists
Theme,Miscellaneous,SHORTAGE,"Shortages, blackouts, brownouts, rationing, etc of anything"
Count,Health,SICKENED,This category counts anything being sickened
Theme,Infrastructure,SLFID_CAPACITY_BUILDING,Self-identified discussion of capacity building
Theme,Social;Rights,SLFID_CIVIL_LIBERTIES,Self-identified discussion of civil liberties
Theme,Government;Leadership,SLFID_DICTATORSHIP,Self-identified discussion of dictatorship
Theme,Economy,SLFID_ECONOMIC_DEVELOPMENT,Self-identified discussion of economic development
Theme,Economy;IR,SLFID_ECONOMIC_POWER,Self-identified discussion of economic power
Theme,Military;Weaponry,SLFID_MILITARY_BUILDUP,Self-identified discussion of military buildup
Theme,Military;Weaponry;Sovereignty,SLFID_MILITARY_READINESS,Self-identified discussion of military readiness
Theme,Military;Weaponry;Sovereignty,SLFID_MILITARY_SPENDING,Self-identified discussion of military spending
Theme,Economy,SLFID_MINERAL_RESOURCES,"Self-identified discussion of mineral wealth, mineral resources, mineral exports"
Theme,Energy;Economy,SLFID_NATURAL_RESOURCES,Self-identified discussion of natural resources
Theme,IR,SLFID_PEACE_BUILDING,Self-identified discussion of peace building
Theme,IR;Sovereignty;Government,SLFID_POLITICAL_BOUNDARIES,Self-identified discussion of political boundaries
Theme,Government;Law Enforcement;IR,SLFID_RULE_OF_LAW,Self-identified discussion of rule of law
Theme,People,SLUMS,"Slums, shantytowns, etc"
Theme,Crime;Organized Crime,SMUGGLING,"Smuggling of anything, including arms traficking"
Theme,IR,SOC_DIPLOMCOOP,Diplomatic cooperation
Theme,IR;Economy,SOC_ECONCOOP,Economic cooperation
Theme,Miscellaneous,SOC_EXPRESSREGRET,Expressing regret
Theme,Miscellaneous,SOC_EXPRESSSUPPORT,"Expressing support for a person, action, or similar"
Theme,People,SOC_FORCEDRELOCATION,Forced relocation
Theme,Crime,SOC_GENERALCRIME,Relating to general criminal activity
Theme,Information,SOC_INTELSHARING,Intelligence sharing
Theme,Law Enforcement;Government,SOC_JUDICIALCOOP,Judicial cooperation
Theme,People,SOC_MASSMIGRATION,Forced migration
Theme,Law Enforcement;Government,SOC_PARDON,Relating to pardoning
Theme,Social,SOC_SUICIDE,Relating to suicide
Theme,Miscellaneous,SOC_SUSPICIOUSACTIVITIES,"Specific mentions of ""suspicious"" activities"
Theme,Miscellaneous,SOC_SUSPICIOUSPEOPLE,"Specific mentions of ""suspicious"" persons"
Theme,Accident,SOC_TRAFFICACCIDENT,Traffic accidents
Theme,Sovereignty,SOVEREIGNTY,"Actual mentions of ""sovereignty"", ""proclaim independence"", ""independent state"", etc"
Theme,Sovereignty;Military;Government,STATE_OF_EMERGENCY,"Martial law, state of emergency, emergency rule, etc"
Theme,Conflict;Military;Violence,STRIKE,"Strikes, work stoppages, lock outs, etc"
Theme,Violence;Military,SUICIDE_ATTACK,Suicide attacks
Theme,Government;Law Enforcement,SURVEILLANCE,"Surveillance, spying."
Theme,Leadership;Politics,TAKE_OFFICE,"Mention of someone taking office either through force or through normal channels (took office, seized office, etc)"
Taxonomy,Organized Crime,TAX_CARTELS,Returns any mention of a major recognized drug cartel
Taxonomy,Health,TAX_DISEASE,Returns any mention of a major infectious disease
Taxonomy,Ethnic,TAX_ETHNICITY,Returns any mention of a major ethnicity from around the world (expands CAMEOETH)
Taxonomy,Miscellaneous,TAX_FNCACT,"Returns any mention of a ""functional actor"", which is essentially a ""role"" from a ""child"" to a ""burgler"" to get a better understanding of the specific roles of people involved "
Taxonomy,Food,TAX_FOODSTAPLES,"Captures a cross-section of major food staples like bread, rice, etc"
Taxonomy,Military;Leadership,TAX_MILITARY_TITLE,"Returns any mention of a major military title such as Captain, 1st Lieutenant, etc"
Taxonomy,Politics,TAX_POLITICAL_PARTY,Returns any mention of a major recognized political party around the world
Taxonomy,Religion,TAX_RELIGION,Returns any mention of a major religion from around the world (expands CAMEOREL)
Taxonomy,Miscellaneous,TAX_SPECIAL_ISSUES,Returns mentions of special issues such as certain major laws and will eventually be replaced by a new tracking system for those
Taxonomy,Violence,TAX_SPECIALDEATH,Special kinds of death such as beheadings
Taxonomy,Organized Crime,TAX_TERROR_GROUP,Returns any mention of a major recognized terror group around the world
Taxonomy,Weaponry,TAX_WEAPONS,Specific weaponry
Theme,Terrorism,TERROR,"Primary discussion of terrorists, bombings, assasinations, etc"
Theme,Violence,TORTURE,"Just mentions of the term ""torture"", not actual torture techniques like waterboarding"
Theme,Economy,TOURISM,"Actual mentions of ""tourism"", ""tourists"", etc, not related terms"
Theme,Infrastructure,TRAFFIC,Road traffic.
Theme,Information,TRANSPARENCY,Any mention of transparency or accountability.
Theme,Crime,TREASON,"Treason, sedition, insurrection."
Theme,Law Enforcement,TRIAL,"Trail, courts, judges, lawyers, lawsuits, etc"
Theme,Economy,UNEMPLOYMENT,"Joblessness, unemployment"
Theme,Government,UNGOVERNED,Ungoverned spaces
Theme,Sovereignty;Dissent,UNREST_CHECKPOINT,Relating to checkpoints
Theme,Dissent;Sovereignty,UNREST_CLOSINGBORDER,Closing borders
Theme,Dissent,UNREST_HUNGERSTRIKE,Hunger strikes
Theme,Weaponry;Dissent,UNREST_MOLOTOVCOCKTAIL,Molotov cocktails
Theme,Dissent;Law Enforcement,UNREST_POLICEBRUTALITY,Police brutality
Theme,Dissent;Violence,UNREST_STONETHROWING,Stone throwing
Theme,Dissent;Violence,UNREST_STONING,Stoning
Theme,Social,UNSAFE_WORK_ENVIRONMENT,"Work injuries, killed on the job, working conditions, etc."
Theme,People,URBAN,Discussion of the urban environment
Theme,Infrastructure,URBAN_SPRAWL,Urban sprawl
Theme,Crime,VANDALIZE,"Vandalizing, desecration, defacing"
Theme,Leadership;Politics,VETO,"Actual mentions of ""veto"", ""voted against"", etc"
Theme,Violence;Dissent,VIOLENT_UNREST,"Discussion of violent unrest, from rubber bullets, firing into a crowd, clashes with police or soldiers, violent rioting, etc"
Theme,Environment;Social,WATER_SECURITY,"Drought, water access, lack of rain, clean water, etc"
Theme,Politics;Information,WHISTLEBLOWER,"Whistleblowers, document leaks, etc"
Theme,Weaponry,WMD,"Weapons of mass distruction, from nuclear to biological to chemical warfare"
Count,Violence,WOUND,Any mention of something being wounded or injured